CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-01-31,Ações,Ação ordinária,0.0,0.0,1195389.0,17418847.72,45060849.0,VBBR3,741701574.54,,2023-05-01,,14.57169818360383,14.57169818360383,1195389.0,,16.46,14.57169818360383
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,50188091.0,VBBR3,993222320.89,,2024-04-28,,,0.0,0.0,,19.79,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-11-30,Ações,Ação ordinária,0.0,0.0,2504900.0,49196236.0,52692991.0,VBBR3,1230381339.85,,2024-05-28,,19.64,19.64,2504900.0,,23.349999999999998,19.64
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-12-31,Ações,Ação ordinária,0.0,0.0,5017100.0,100462847.0,57710091.0,VBBR3,1313481671.16,,2024-06-28,,20.024087022383448,20.024087022383448,5017100.0,,22.76,20.024087022383448
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-02-28,Ações,Ação ordinária,0.0,0.0,719142.0,11163276.29,45779991.0,VBBR3,677086066.89,,2023-05-29,,15.523048702481567,15.523048702481567,719142.0,,14.79,15.523048702481567
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-03-31,Ações,Ação ordinária,0.0,0.0,634364.0,8572496.11,46414355.0,VBBR3,668830855.55,,2023-06-29,,13.513528683847127,13.513528683847127,634364.0,,14.409999999999998,13.513528683847127
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-04-30,Ações,Ação ordinária,405235.0,5602454.92,815824.0,11055790.34,46824944.0,VBBR3,618089260.8,,2023-07-29,13.825199995064592,13.5516855841456,13.5516855841456,410589.0,110837.61230875763,13.2,13.5516855841456
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-05-31,Ações,Ação ordinária,999240.0,16437498.0,4600300.0,65901546.33,50426004.0,VBBR3,811354404.36,,2023-11-27,16.45,14.325488844205813,14.325488844205813,3601060.0,2122896.527315783,16.09,14.325488844205813
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-06-30,Ações,Ação ordinária,2132537.0,35850331.44,1894624.0,31937449.46,50188091.0,VBBR3,905895042.55,,2023-12-27,16.811118137692333,16.856880024743695,16.856880024743695,-237913.0,-97588.91732685197,18.05,16.856880024743695
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-07-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,50188091.0,VBBR3,859721998.83,,2024-01-27,,,0.0,0.0,,17.130000000000003,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-08-31,Ações,Ação ordinária,2350429.0,42197738.31,2350429.0,41934267.17,50188091.0,VBBR3,926472159.86,,2024-02-27,17.953206972003834,17.841112056564995,17.841112056564995,0.0,263471.13999999355,18.46,17.841112056564995
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,50188091.0,VBBR3,949558681.72,,2024-03-28,,,0.0,0.0,,18.92,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,57710091.0,VBBR3,1370614661.25,,2024-07-29,,,0.0,0.0,,23.75,
