CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação ordinária,10701.0,128242.87,195973.0,2311886.71,21102915.0,VULC3,249225426.15,,2023-05-01,11.984194935052798,11.7969654493221,11.7969654493221,185272.0,2003.5427268042063,11.81,11.7969654493221
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação ordinária,0.0,0.0,38532.0,735593.47,20518197.0,VULC3,367480908.27,,2024-04-28,,19.09045650368525,19.09045650368525,38532.0,,17.91,19.09045650368525
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,20518197.0,VULC3,438884233.83,,2024-05-28,,,0.0,0.0,,21.39,
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação ordinária,557657.0,11569690.71,558270.0,11402486.52,20518810.0,VULC3,413248833.4,,2024-06-28,20.746965805145457,20.42468074587565,20.42468074587565,613.0,179724.51929722214,20.14,20.42468074587565
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação ordinária,123527.0,1447373.56,1900.0,20995.0,20981288.0,VULC3,242963315.04,,2023-05-29,11.717062342645738,11.05,11.05,-121627.0,82400.20999999998,11.58,11.05
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação ordinária,107893.0,1302464.24,210773.0,2369059.82,21084168.0,VULC3,254696749.44,,2023-06-29,12.07181411212961,11.239863834551864,11.239863834551864,102880.0,89761.6112986958,12.08,11.239863834551864
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação ordinária,38900.0,457233.0,366082.0,4293123.63,21411350.0,VULC3,284985068.5,,2023-07-29,11.754061696658098,11.727218573980693,11.727218573980693,327182.0,1044.1974721510746,13.31,11.727218573980693
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação ordinária,507913.0,7870654.61,34700.0,494346.0,20938137.0,VULC3,332916378.3,,2023-08-29,15.496068440855028,14.24628242074928,14.24628242074928,-473213.0,634782.566829971,15.9,14.24628242074928
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação ordinária,746417.0,12745799.7,235315.0,3941299.44,20427035.0,VULC3,353387705.5,,2023-12-27,17.075977235245176,16.749036143042304,16.749036143042304,-511102.0,244034.38921879156,17.3,16.749036143042304
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação ordinária,10700.0,186745.35,426200.0,7336551.0,20842535.0,VULC3,408930536.7,,2024-01-27,17.45283644859813,17.213869075551383,17.213869075551383,415500.0,2556.9508916002023,19.62,17.213869075551383
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação ordinária,728770.0,15299660.56,274294.0,5528232.49,20388059.0,VULC3,402868045.84,,2024-02-27,20.99381225901176,20.1544054554602,20.1544054554602,-454476.0,611734.4962242716,19.759999999999998,20.1544054554602
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação ordinária,473314.0,10306183.99,564920.0,11730799.16,20479665.0,VULC3,405292570.35,,2024-03-28,21.774517529589236,20.765416625362885,20.765416625362885,91606.0,477621.585382991,19.790000000000003,20.765416625362885
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,20518810.0,VULC3,386164004.2,,2024-07-29,,,0.0,0.0,,18.82,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-01-31,Ações,Ação ordinária,100100.0,1189586.18,0.0,0.0,3624667.0,VULC3,42807317.27,,2023-05-01,11.88397782217782,,0.0,-100100.0,1189586.18,11.81,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-10-31,Ações,Ação ordinária,201200.0,3780026.14,0.0,0.0,3083378.0,VULC3,55223299.98,,2024-04-28,18.78740626242545,,0.0,-201200.0,3780026.1400000006,17.91,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-11-30,Ações,Ação ordinária,472100.0,9596503.96,400.0,8500.0,2610200.0,VULC3,55832178.0,,2024-05-28,20.327269561533576,21.25,21.25,-471700.0,-435621.03999999864,21.39,21.25
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-12-31,Ações,Ação ordinária,87300.0,1820539.71,9600.0,192143.95,2529745.0,VULC3,50949064.3,,2024-06-28,20.853834020618557,20.014994791666666,20.014994791666666,-77700.0,73230.66468750003,20.14,20.014994791666666
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-02-28,Ações,Ação ordinária,72100.0,834939.0,10400.0,115142.22,3582559.0,VULC3,41486033.22,,2023-05-29,11.580291262135923,11.071367307692308,11.071367307692308,-61700.0,36693.41711538465,11.58,11.071367307692308
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-03-31,Ações,Ação ordinária,124600.0,1538115.9,27900.0,308019.31,3901370.0,VULC3,47128549.6,,2023-06-29,12.344429373996789,11.040118637992832,11.040118637992832,-96700.0,162517.1177060931,12.08,11.040118637992832
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-04-30,Ações,Ação ordinária,58200.0,723226.89,0.0,0.0,3944238.0,VULC3,52497807.78,,2023-10-27,12.426578865979382,,0.0,-58200.0,723226.89,13.31,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-05-31,Ações,Ação ordinária,233200.0,3428282.84,2600.0,38083.97,3581655.0,VULC3,56948314.5,,2023-11-27,14.701041337907375,14.64768076923077,14.64768076923077,-230600.0,12443.68461538449,15.9,14.64768076923077
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-06-30,Ações,Ação ordinária,111100.0,1860371.03,0.0,0.0,3559167.0,VULC3,61573589.1,,2023-12-27,16.74501377137714,,0.0,-111100.0,1860371.03,17.3,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-07-31,Ações,Ação ordinária,133400.0,2515786.34,300.0,5113.38,3422420.0,VULC3,67147880.4,,2024-01-27,18.858968065967016,17.0446,17.0446,-133100.0,242036.70000000004,19.62,17.0446
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-08-31,Ações,Ação ordinária,145000.0,3021456.79,0.0,0.0,3372278.0,VULC3,66636213.28,,2024-02-27,20.83763303448276,,0.0,-145000.0,3021456.79,19.76,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-09-30,Ações,Ação ordinária,72200.0,1509883.24,0.0,0.0,3285402.0,VULC3,65018105.58,,2024-03-28,20.91251024930748,,0.0,-72200.0,1509883.24,19.79,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2024-01-31,Ações,Ação ordinária,369000.0,7763315.16,700.0,13244.78,1909859.0,VULC3,35943546.38,,2024-07-29,21.038794471544715,18.921114285714285,18.921114285714285,-368300.0,781423.9885714287,18.82,18.921114285714285
