CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-01-31,Ações,Ação ordinária,0.0,0.0,16892.0,260260.57,5497802.0,VVEO3,104458238.0,,2023-05-01,,15.407327137106323,15.407327137106323,16892.0,,19.0,15.407327137106323
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,12949598.0,VVEO3,192819514.22,,2024-04-28,,,0.0,0.0,,14.89,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-11-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,12949598.0,VVEO3,181294372.0,,2024-05-28,,,0.0,0.0,,14.0,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-12-31,Ações,Ação ordinária,0.0,0.0,50513.0,704656.35,13083203.0,VVEO3,182510681.85,,2024-06-28,,13.95,13.95,50513.0,,13.95,13.95
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-02-28,Ações,Ação ordinária,0.0,0.0,0.0,0.0,5545359.0,VVEO3,97653771.99,,2023-05-29,,,0.0,0.0,,17.61,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-03-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,5522333.0,VVEO3,86314064.79,,2023-06-29,,,0.0,0.0,,15.63,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-04-30,Ações,Ação ordinária,0.0,0.0,2350134.0,37601925.72,7887075.0,VVEO3,125246751.0,,2023-07-29,,15.999907120189741,15.999907120189741,2350134.0,,15.88,15.999907120189741
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-05-31,Ações,Ação ordinária,0.0,0.0,80923.0,1366369.09,7976998.0,VVEO3,136805515.7,,2023-11-27,,16.88480518517603,16.88480518517603,80923.0,,17.15,16.88480518517603
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-06-30,Ações,Ação ordinária,0.0,0.0,621.0,10538.37,7977619.0,VVEO3,158435513.34,,2023-12-27,,16.970000000000002,16.970000000000002,621.0,,19.86,16.970000000000002
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-07-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,7880116.0,VVEO3,167058459.2,,2024-01-27,,,0.0,0.0,,21.2,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-08-31,Ações,Ação ordinária,0.0,0.0,4487287.0,94233027.0,12547446.0,VVEO3,239405269.68,,2024-02-27,,21.0,21.0,4487287.0,,19.080000000000002,21.0
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,243705.0,4181970.57,12949598.0,VVEO3,216905766.5,,2024-03-28,,17.15997033298455,17.15997033298455,243705.0,,16.75,17.15997033298455
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2024-01-31,Ações,Ação ordinária,83912.0,823251.38,957907.0,11644649.59,13953727.0,VVEO3,140932642.7,,2024-07-29,9.810889741634092,12.156346691275875,12.156346691275875,873995.0,-196811.98355834125,10.1,12.156346691275875
