CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-01-31,Ações,Ação ordinária,19100.0,727710.0,0.0,0.0,3274377.0,WEGE3,125212176.48,,2023-05-01,38.1,,0.0,-19100.0,727710.0,38.24,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação ordinária,0.0,0.0,1252474.0,41634154.66,4767947.0,WEGE3,157389930.47,,2024-04-28,,33.241532087692036,33.241532087692036,1252474.0,,33.01,33.241532087692036
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-11-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,4916916.0,WEGE3,168109358.04,,2024-05-28,,,0.0,0.0,,34.19,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-12-31,Ações,Ação ordinária,0.0,0.0,18387.0,678664.17,4935303.0,WEGE3,182162033.73,,2024-06-28,,36.910000000000004,36.910000000000004,18387.0,,36.91,36.910000000000004
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-02-28,Ações,Ação ordinária,0.0,0.0,0.0,0.0,3274377.0,WEGE3,128224603.32,,2023-05-29,,,0.0,0.0,,39.16,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-03-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,3274377.0,WEGE3,132775987.35,,2023-06-29,,,0.0,0.0,,40.55,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-04-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,3274377.0,WEGE3,134642382.24,,2023-07-29,,,0.0,0.0,,41.120000000000005,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-05-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,3274377.0,WEGE3,123149318.97,,2023-11-27,,,0.0,0.0,,37.61,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-06-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,3274377.0,WEGE3,123607731.75,,2023-12-27,,,0.0,0.0,,37.75,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-07-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,3274377.0,WEGE3,130713129.84,,2024-01-27,,,0.0,0.0,,39.92,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-08-31,Ações,Ação ordinária,394658.0,14245024.09,394658.0,14221583.61,3274377.0,WEGE3,117484646.76,,2024-02-27,36.09460365683706,36.03520924445976,36.03520924445976,0.0,23440.480000001004,35.88,36.03520924445976
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,390065.0,14046885.32,3664442.0,WEGE3,132909311.34,,2024-03-28,,36.01165272454591,36.01165272454591,390065.0,,36.27,36.01165272454591
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,4935303.0,WEGE3,159607699.02,,2024-07-29,,,0.0,0.0,,32.34,
